270,14.073,0.08,290,9.703,0.052,298.15,71.93,0.0096,0.0425
270,28.059,0.194,290,11.233,0.08,298.15,80.2,0.0284,0.0743
270,40.079,0.294,290,14.073,0.122,298.15,85.92,0.0382,0.1006
270,45.76,0.397,290,15.603,0.145,298.15,90.61,0.0444,0.1333
270,45.76,0.533,290,17.351,0.167,298.15,95.7,0.0561,0.1609
270,40.079,0.615,290,17.57,0.352,298.15,110.9,0.0808,0.1938
270,28.278,0.647,290,15.603,0.345,298.15,113.9,0.0878,
270,21.941,0.643,290,14.073,0.33,298.15,115.9,0.089,
270,17.351,0.62,290,11.451,0.286,,,,
270,10.577,0.528,290,9.484,0.233,,,,
270,5.332,0.275,,,,,,,
